[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/state', payload 'ON'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/voltage', payload '117.6'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/ac_frequency', payload '60'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/update-state', payload 'idle'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/update-installed_version', payload '268513368'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/update-latest_version', payload '268513368'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/update_available', payload 'false'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/linkquality', payload '244'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/power', payload '10.7'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/power_factor', payload '0.48'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/current', payload '0.16'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/power_on_behavior', payload 'on'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/energy', payload '0.13'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug', payload '{"ac_frequency":60,"current":0.18,"energy":0.13,"linkquality":244,"power":10.7,"power_factor":0.48,"power_on_behavior":"on","state":"ON","update":{"installed_version":268513368,"latest_version":268513368,"state":"idle"},"update_available":false,"voltage":117.6}'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/state', payload 'ON'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/voltage', payload '117.6'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/ac_frequency', payload '60'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/update-state', payload 'idle'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/update-installed_version', payload '268513368'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/update-latest_version', payload '268513368'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/update_available', payload 'false'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/linkquality', payload '244'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/power', payload '10.7'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/power_factor', payload '0.48'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/current', payload '0.18'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/power_on_behavior', payload 'on'
[2024-11-25 10:44:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/energy', payload '0.13'
[2024-11-25 10:44:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug', payload '{"ac_frequency":60,"current":0.18,"energy":0.13,"linkquality":244,"power":10.7,"power_factor":0.48,"power_on_behavior":"on","state":"ON","update":{"installed_version":268513368,"latest_version":268513368,"state":"idle"},"update_available":false,"voltage":117.6}'
[2024-11-25 10:44:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/state', payload 'ON'
[2024-11-25 10:44:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/voltage', payload '117.6'
[2024-11-25 10:44:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/ac_frequency', payload '60'
[2024-11-25 10:44:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/update-state', payload 'idle'
[2024-11-25 10:44:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/update-installed_version', payload '268513368'
[2024-11-25 10:44:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/update-latest_version', payload '268513368'
[2024-11-25 10:44:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/update_available', payload 'false'
[2024-11-25 10:44:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/linkquality', payload '244'
[2024-11-25 10:44:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/power', payload '10.7'
[2024-11-25 10:44:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/power_factor', payload '0.48'
[2024-11-25 10:44:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/current', payload '0.18'
[2024-11-25 10:44:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/power_on_behavior', payload 'on'
[2024-11-25 10:44:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/energy', payload '0.13'
[2024-11-25 10:44:37] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug', payload '{"ac_frequency":60,"current":0.18,"energy":0.13,"linkquality":240,"power":9,"power_factor":0.48,"power_on_behavior":"on","state":"ON","update":{"installed_version":268513368,"latest_version":268513368,"state":"idle"},"update_available":false,"voltage":117.6}'
[2024-11-25 10:44:37] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/state', payload 'ON'
[2024-11-25 10:44:37] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/voltage', payload '117.6'
[2024-11-25 10:44:37] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/ac_frequency', payload '60'
[2024-11-25 10:44:37] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/update-state', payload 'idle'
[2024-11-25 10:44:37] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/update-installed_version', payload '268513368'
[2024-11-25 10:44:37] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/update-latest_version', payload '268513368'
[2024-11-25 10:44:37] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/update_available', payload 'false'
[2024-11-25 10:44:37] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/linkquality', payload '240'
[2024-11-25 10:44:37] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/power', payload '9'
[2024-11-25 10:44:37] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/power_factor', payload '0.48'
[2024-11-25 10:44:37] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/current', payload '0.18'
[2024-11-25 10:44:37] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/power_on_behavior', payload 'on'
[2024-11-25 10:44:37] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/energy', payload '0.13'
[2024-11-25 10:44:37] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug', payload '{"ac_frequency":60,"current":0.16,"energy":0.13,"linkquality":228,"power":9,"power_factor":0.48,"power_on_behavior":"on","state":"ON","update":{"installed_version":268513368,"latest_version":268513368,"state":"idle"},"update_available":false,"voltage":117.6}'
[2024-11-25 10:44:37] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Zigbee Smart Plug/state', payload 'ON'
