[2024-11-18 08:33:00] info: 	z2m: Logging to console, file (filename: log.log)
[2024-11-18 08:33:00] info: 	z2m: Starting Zigbee2MQTT version 1.40.1 (commit #403d3c0)
[2024-11-18 08:33:00] info: 	z2m: Starting zigbee-herdsman (0.57.3)
[2024-11-18 08:33:00] info: 	zh:ember: Using default stack config.
[2024-11-18 08:33:00] info: 	zh:ember: ======== Ember Adapter Starting ========
[2024-11-18 08:33:00] info: 	zh:ember:ezsp: ======== EZSP starting ========
[2024-11-18 08:33:00] info: 	zh:ember:uart:ash: ======== ASH Adapter reset ========
[2024-11-18 08:33:00] info: 	zh:ember:uart:ash: RTS/CTS config is off, enabling software flow control.
[2024-11-18 08:33:00] info: 	zh:ember:uart:ash: Serial port opened
[2024-11-18 08:33:00] info: 	zh:ember:uart:ash: ======== ASH starting ========
[2024-11-18 08:33:00] error: 	zh:ember:uart:ash: Received ERROR from adapter while connecting, with code=ERROR_EXCEEDED_MAXIMUM_ACK_TIMEOUT_COUNT.
[2024-11-18 08:33:01] info: 	zh:ember:uart:ash: ======== ASH connected ========
[2024-11-18 08:33:01] info: 	zh:ember:uart:ash: ======== ASH started ========
[2024-11-18 08:33:01] info: 	zh:ember:ezsp: ======== EZSP started ========
[2024-11-18 08:33:01] info: 	zh:ember: Adapter EZSP protocol version (13) lower than Host. Switched.
[2024-11-18 08:33:01] info: 	zh:ember: Adapter version info: {"ezsp":13,"revision":"7.4.4 [GA]","build":0,"major":7,"minor":4,"patch":4,"special":0,"type":170}
[2024-11-18 08:33:01] info: 	zh:ember: [STACK STATUS] Network up.
[2024-11-18 08:33:02] info: 	zh:ember: [INIT TC] Adapter network matches config.
[2024-11-18 08:33:02] info: 	zh:ember: [CONCENTRATOR] Started source route discovery. 1248ms until next broadcast.
[2024-11-18 08:33:02] info: 	z2m: zigbee-herdsman started (resumed)
[2024-11-18 08:33:02] info: 	z2m: Coordinator firmware version: '{"meta":{"build":0,"ezsp":13,"major":7,"minor":4,"patch":4,"revision":"7.4.4 [GA]","special":0,"type":170},"type":"EmberZNet"}'
[2024-11-18 08:33:02] info: 	z2m: Tuya_Vibe (0xa4c138be4b4ccef8): TS0210 - Tuya Vibration sensor (EndDevice)
[2024-11-18 08:33:02] info: 	z2m: Aqara vibration (0x00158d000af01758): DJT11LM - Aqara Vibration sensor (EndDevice)
[2024-11-18 08:33:02] info: 	z2m: 0x0ceff6fffe6b79ff (0x0ceff6fffe6b79ff): SNZB-06P - SONOFF Zigbee occupancy sensor (Router)
[2024-11-18 08:33:02] info: 	z2m: Aeotec Motion Sensor (0x286d97000114b978): IM6001-MTP01 - SmartThings Motion sensor (2018 model) (EndDevice)
[2024-11-18 08:33:02] info: 	z2m: 0x54ef441000daded9 (0x54ef441000daded9): Not supported (EndDevice)
[2024-11-18 08:33:02] info: 	z2m: liptech mmwave (0xb0c7defffedb6f4f): ES1ZZ(TY) - Linptech mmWave Presence sensor (Router)
[2024-11-18 08:33:02] info: 	z2m: 3 vibration (0x282c02bfffea934f): 3RVS01031Z - Third Reality Zigbee vibration sensor (EndDevice)
[2024-11-18 08:33:02] info: 	z2m: Zigbee Smart Plug (0x282c02bfffea4104): 3RSP02028BZ - Third Reality Zigbee / BLE smart plug with power (Router)
[2024-11-18 08:33:02] info: 	z2m: 3rdReality Door Sensor (0x282c02bfffe6798d): 3RDS17BZ - Third Reality Door sensor (EndDevice)
[2024-11-18 08:33:02] info: 	z2m: Aqara_Door (0x00158d008b112dea): MCCGQ11LM - Aqara Door and window sensor (EndDevice)
[2024-11-18 08:33:02] info: 	z2m: Phillips1100 (0x001788010dabce8f): 9290024687 - Philips Hue White and Color Ambiance A19 1100 lumen (Router)
[2024-11-18 08:33:02] info: 	z2m: Currently 11 devices are joined.
[2024-11-18 08:33:02] warning: 	z2m: `permit_join` set to  `true` in configuration.yaml.
[2024-11-18 08:33:02] warning: 	z2m: Allowing new devices to join.
[2024-11-18 08:33:02] warning: 	z2m: Set `permit_join` to `false` once you joined all devices.
[2024-11-18 08:33:02] info: 	z2m: Zigbee: allowing new devices to join.
[2024-11-18 08:33:02] info: 	zh:ember: [STACK STATUS] Network opened.
[2024-11-18 08:33:02] info: 	z2m: Connecting to MQTT server at mqtt://localhost
[2024-11-18 08:33:02] info: 	z2m: Connected to MQTT server
