[2024-11-18 10:55:51] info: 	z2m: Logging to console, file (filename: log.log)
[2024-11-18 10:55:51] info: 	z2m: Starting Zigbee2MQTT version 1.40.1 (commit #403d3c0)
[2024-11-18 10:55:51] info: 	z2m: Starting zigbee-herdsman (0.57.3)
[2024-11-18 10:55:51] info: 	zh:ember: Using default stack config.
[2024-11-18 10:55:51] info: 	zh:ember: ======== Ember Adapter Starting ========
[2024-11-18 10:55:51] info: 	zh:ember:ezsp: ======== EZSP starting ========
[2024-11-18 10:55:51] info: 	zh:ember:uart:ash: ======== ASH Adapter reset ========
[2024-11-18 10:55:51] info: 	zh:ember:uart:ash: RTS/CTS config is off, enabling software flow control.
[2024-11-18 10:55:51] info: 	zh:ember:uart:ash: Serial port opened
[2024-11-18 10:55:51] info: 	zh:ember:uart:ash: ======== ASH starting ========
[2024-11-18 10:55:51] error: 	zh:ember:uart:ash: Received frame with CRC error
[2024-11-18 10:55:51] error: 	zh:ember:uart:ash: Received ERROR from adapter while connecting, with code=ERROR_EXCEEDED_MAXIMUM_ACK_TIMEOUT_COUNT.
[2024-11-18 10:55:52] info: 	zh:ember:uart:ash: ======== ASH connected ========
[2024-11-18 10:55:52] info: 	zh:ember:uart:ash: ======== ASH started ========
[2024-11-18 10:55:52] info: 	zh:ember:ezsp: ======== EZSP started ========
[2024-11-18 10:55:52] info: 	zh:ember: Adapter EZSP protocol version (13) lower than Host. Switched.
[2024-11-18 10:55:52] info: 	zh:ember: Adapter version info: {"ezsp":13,"revision":"7.4.4 [GA]","build":0,"major":7,"minor":4,"patch":4,"special":0,"type":170}
[2024-11-18 10:55:52] info: 	zh:ember: [STACK STATUS] Network up.
[2024-11-18 10:55:52] info: 	zh:ember: [INIT TC] Adapter network matches config.
[2024-11-18 10:55:52] info: 	zh:ember: [CONCENTRATOR] Started source route discovery. 1248ms until next broadcast.
[2024-11-18 10:55:52] info: 	z2m: zigbee-herdsman started (resumed)
[2024-11-18 10:55:52] info: 	z2m: Coordinator firmware version: '{"meta":{"build":0,"ezsp":13,"major":7,"minor":4,"patch":4,"revision":"7.4.4 [GA]","special":0,"type":170},"type":"EmberZNet"}'
